,Date,DaySin,DayCos,Meal,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,MealNum,Item1Num,Item2Num,Item3Num,Item4Num,Item5Num,Item6Num,Item7Num,Item8Num
637,21/01/23,-0.974927912,-0.222520934,Lunch,"GREEN SALAD,  MEDITERRANEAN SALAD",CABBAGE MATAR (V),ALOO PALAK (V),KALE CHANE,PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",GULAB JAMUN,1,79,142,162,51,2,1,6,48
638,21/01/23,-0.974927912,-0.222520934,Snacks,SMILEY,"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,84,25,-1,-1,-1,-1,-1,-1
639,21/01/23,-0.974927912,-0.222520934,Dinner,"GREEN SALAD, SIRKA ONION",CHICKEN CURRRY (NV/N/D),KADHAI PANEER (D),DHABA DAL (V),PLAIN RICE,TAWA ROTI,"ACHAR,JAGGERY",-1,3,20,127,7,26,2,1,7,-1
640,22/01/23,-0.781831482,0.623489802,Breakfast,CORNFLAKES,SCRAMBLED EGG (E),BANANA PANCAKE(D),"HONEY,CHOCOLATE SYRUP","BREAD, BUTTER (D), JAM","BANANA,APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,53,186,3,0,4,0,0
641,22/01/23,-0.781831482,0.623489802,Lunch,"GREEN SALAD, LACCHA ONION SALAD",PINDI CHOLEY (V),HARE KADDU KI SABZI (V),CURD (D),ONION RICE,POORI,"ACHAR, PAPAD,JAGGERY",-1,1,15,36,88,27,4,7,6,-1
642,22/01/23,-0.781831482,0.623489802,Snacks,JHAL MURI CHAT (N),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,164,25,-1,-1,-1,-1,-1,-1
643,22/01/23,-0.781831482,0.623489802,Dinner,"KOREAN KIMCHI SALAD,HOT & SOUR SOUP",VEG MANCHURIAN,STIR FRIED VEGETABLES IN HOT GARLIC SAUCE,GARLIC CHILLI  NOODLES,SCHEZWAN  FRIED RICE,GARLIC BREAD,"ACHAR,JAGGERY",STRAWBERRY ICE CREAM (D),3,165,153,163,36,22,35,7,17
644,23/01/23,0,1,Breakfast,CORNFLAKES,BOILED EGG (E),VERMICILLI UPMA (V),TOMATO CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA,SHARDA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,27,55,6,0,30,0,0
645,23/01/23,0,1,Lunch,"GREEN SALAD,MASALA LACCHA ONION",CHICKEN MAKHANI (NV/D),HOME STYLE MATTER PANEER,GREEN MOONG DAL,PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,1,147,187,48,2,1,6,-1
646,23/01/23,0,1,Snacks,CHOCOLATE CUP CAKE (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,183,25,-1,-1,-1,-1,-1,-1
647,23/01/23,0,1,Dinner,"GREEN SALAD , MUSHROOM SOUP (D)",MAC & CHEESE (D),MIX VEG (V),RED MALKA DAL,PLAIN RICE,TAWA ROTI,"ACHAR,JAGERRY",COCONUT BURFI (D),3,171,3,124,61,2,1,8,31
648,24/01/23,0.781831482,0.623489802,Breakfast,MUESLI,EGG BHURJI (E),"IDLI,SAMBHAR",COCONUT CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA, PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,4,188,0,0,6,0,0
649,24/01/23,0.781831482,0.623489802,Lunch,"GREEN SALAD,MEXICAN SALAD",ALOO METHI,SINDHI KADHI (D),BLACK MASOOR DAL (V),JEERA RICE,TAWA ROTI,"ACHAR,JAGGERY",-1,1,156,154,189,34,1,1,7,-1
650,24/01/23,0.781831482,0.623489802,Snacks,VEG NUGGETS,"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,13,25,-1,-1,-1,-1,-1,-1
651,24/01/23,0.781831482,0.623489802,Dinner,"GREEN SALAD,LEMON CORRIANDER SOUP",SOYA KEEMA MATAR,ACHARI BAIGAN (V),DAL PANCHMEL,JEERA RICE,TAWA ROTI,"ACHAR,JAGERRY",CHOCOLATE ICE CREAM (D),3,132,130,117,14,1,1,8,2
652,25/01/23,0.974927912,-0.222520934,Breakfast,CHOCOS,FRIED EGG (E),VEG PEANUT POHA (N),MINT CHUTNEY (D),"BREAD, BUTTER (D), JAM","BANANA, APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,16,125,9,0,18,0,0
653,25/01/23,0.974927912,-0.222520934,Lunch,"GREEN SALAD,SIRKA ONION",CHICKEN CURRY (NV/D),PANEER LABABDAR (D),ARHAR DAL TADKA (V),PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,184,114,50,54,2,1,6,-1
654,25/01/23,0.974927912,-0.222520934,Snacks,MARBLE CAKE (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,98,25,-1,-1,-1,-1,-1,-1
655,25/01/23,0.974927912,-0.222520934,Dinner,"GREEN SALAD,SWEET CORN SOUP",VEGETABLE LASAGNE (D),CABBAGE MATAR (V),DAL BHUKARA,PEAS PULAO,TAWA ROTI,"ACHAR,JAGERRY",SEWAI PAYSAM (D),3,150,144,129,74,11,1,8,21
656,26/01/23,0.433883739,-0.900968868,Breakfast,MUESLI,EGG BHURJI (E),ALOO PARATHA (D),CURD (D),"BREAD, BUTTER (D), JAM","BANANA,PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,4,147,27,0,3,0,0
657,26/01/23,0.433883739,-0.900968868,Lunch,"GREEN SALAD , MEDITERRANEAN SALAD",MASALA JEERA ALOO (V),RAJMA MASALA (V),CURD (D),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,185,145,86,27,1,1,6,-1
658,26/01/23,0.433883739,-0.900968868,Snacks,JHAL MURI CHAT (N),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,164,25,-1,-1,-1,-1,-1,-1
659,26/01/23,0.433883739,-0.900968868,Dinner,"GREEN SALAD,TOMATO SHORBA",SARSON KA SAAG (V),GOBHI ALOO (V),DHABA DAL,JEERA RICE,TAWA ROTI,"ACHAR,JAGERRY",KESARIYA HALWA (D),3,134,120,164,8,1,1,8,49
660,27/01/23,-0.433883739,-0.900968868,Breakfast,CORNFLAKES,BOILED EGG (E),"VADA, SAMBHAR",COCONUT CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA,SHARDA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,27,190,0,0,30,0,0
661,27/01/23,-0.433883739,-0.900968868,Lunch,"GREEN SALAD,ALOO PEANUT CHAT (N)",HOME STYLE MACRONI (V),GAJAR MATAR (V),KALE CHANE,STEAMED RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,166,37,118,51,14,1,6,-1
662,27/01/23,-0.433883739,-0.900968868,Snacks,FRIES,TEA (D)  COFFEE (D),-1,-1,-1,-1,-1,-1,2,186,59,-1,-1,-1,-1,-1,-1
663,27/01/23,-0.433883739,-0.900968868,Dinner,"GREEN SALAD,AMERICAN CORN SALAD",EXOTIC VEGETABLE IN TOMATO BASIL SAUCE (D),ALOO BEANS (V),CHANA DAL TADKA,VEG PULAO,TAWA ROTI,"ACHAR,JAGERRY",KALA JAMUN (D),3,75,119,165,64,6,1,8,5
664,28/01/23,-0.974927912,-0.222520934,Breakfast,CHOCOS,EGG BHURJI (E),METHI PURI,ALOO BHAJI (V),"BREAD, BUTTER (D), JAM","BANANA, PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,4,191,59,0,6,0,0
